nlay,nrow,ncol,elevation
0,150,256,1601.2401123046875
0,150,257,1601.2396240234375
0,151,237,1601.25927734375
0,151,238,1601.2587890625
0,151,239,1601.25830078125
0,151,240,1601.2569580078125
0,151,241,1601.255859375
0,151,242,1601.2552490234375
0,151,243,1601.25390625
0,151,244,1601.25341796875
0,151,245,1601.251953125
0,151,246,1601.2513427734375
0,151,247,1601.249755859375
0,151,248,1601.2490234375
0,151,249,1601.247314453125
0,151,250,1601.2464599609375
0,151,251,1601.244873046875
0,151,252,1601.244140625
0,151,253,1601.24267578125
0,151,254,1601.241943359375
0,151,255,1601.240966796875
0,151,256,1601.2406005859375
0,152,237,1601.2618408203125
0,152,238,1601.2607421875
0,152,239,1601.2601318359375
0,152,240,1601.2587890625
0,152,241,1601.2576904296875
0,152,242,1601.2569580078125
0,152,243,1601.2557373046875
0,152,244,1601.2550048828125
0,152,245,1601.253662109375
0,152,246,1601.2530517578125
0,152,247,1601.2515869140625
0,152,248,1601.2508544921875
0,152,249,1601.2491455078125
0,152,250,1601.248291015625
0,152,251,1601.24658203125
0,152,252,1601.24560546875
